(Step 1) | Policy v0 |    2.2s | Reward 0.6113
Step 88 |    5.3s | Reward 0.8750 | Trainable 32/128
Step 89 |   799ms | Reward 0.8125 | Trainable 16/128
Step 9 |   17.1s | Reward 0.6161 | Trainable 112/128
Step 90 |   618ms | Reward 0.7188 | Trainable 32/128
Step 91 |   24.8s | Reward 0.7500 | Trainable 16/128
Step 92 |   858ms | Reward 0.8750 | Trainable 16/128
Step 93 |   788ms | Reward 0.8750 | Trainable 32/128
Step 94 |   702ms | Reward 0.6875 | Trainable 32/128
Step 95 |   28.6s | Reward 0.8125 | Trainable 16/128
Step 96 |   839ms | Reward 0.7500 | Trainable 24/128
Step 97 |   875ms | Reward 0.7500 | Trainable 40/128
Step 98 |   27.1s | Reward 0.8750 | Trainable 24/128
Step 99 |   759ms | Reward 0.6500 | Trainable 40/128
